beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count
1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13.0
3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8.0
2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51.0
1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23.0
3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32.0
5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31.0
3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24.0
2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10.0
4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10.0
1.0,1.0,126,5.0,5.0,4.8,5.0,5.0,4.8,8.0
3.0,1.0,110,5.0,4.7,5.0,5.0,4.9,4.7,10.0
1.0,1.0,85,4.8,4.9,5.0,5.0,4.9,4.5,8.0
2.0,1.0,174,4.9,4.9,4.9,4.9,4.9,4.8,33.0
2.0,1.5,139,5.0,5.0,5.0,5.0,5.0,4.9,35.0
2.0,1.0,96,5.0,5.0,5.0,5.0,5.0,4.9,12.0
3.0,1.0,141,4.9,4.9,4.9,4.9,5.0,4.7,15.0
1.0,1.0,309,5.0,5.0,5.0,5.0,5.0,4.6,36.0
2.0,1.0,130,4.9,5.0,4.9,4.7,5.0,4.7,13.0
1.0,1.0,499,5.0,5.0,5.0,5.0,5.0,5.0,39.0
2.0,1.0,670,4.9,5.0,5.0,5.0,4.9,4.8,15.0
2.0,1.5,168,4.8,4.9,5.0,4.7,4.7,4.9,50.0
4.0,1.0,149,5.0,4.9,5.0,4.9,5.0,4.9,35.0
1.0,1.0,280,5.0,5.0,5.0,5.0,5.0,4.8,36.0
2.0,1.0,171,5.0,5.0,5.0,4.8,5.0,4.8,43.0
2.0,1.0,238,4.8,4.8,4.9,4.8,5.0,4.6,28.0
1.0,1.0,99,5.0,5.0,5.0,5.0,5.0,5.0,16.0
1.0,1.0,413,5.0,4.9,5.0,4.9,5.0,4.8,30.0
3.0,1.0,206,4.8,4.9,4.9,4.9,5.0,4.7,25.0
1.0,1.0,123,4.9,4.9,4.9,4.9,5.0,4.7,42.0
1.0,1.0,125,5.0,5.0,5.0,4.8,5.0,4.9,17.0
1.0,1.0,130,5.0,5.0,5.0,5.0,5.0,4.9,42.0
3.0,1.0,222,4.9,5.0,5.0,5.0,5.0,4.8,28.0
4.0,1.0,212,5.0,5.0,5.0,5.0,5.0,4.9,38.0
1.0,1.0,151,5.0,4.9,4.9,5.0,5.0,4.9,52.0
2.0,1.0,149,5.0,5.0,5.0,5.0,5.0,4.8,34.0
2.0,1.0,249,4.6,4.8,4.9,4.8,5.0,4.6,33.0
1.0,1.0,101,4.9,5.0,5.0,5.0,5.0,4.9,38.0
3.0,1.5,311,4.9,5.0,5.0,4.9,5.0,4.8,50.0
3.0,1.5,53,4.9,4.9,4.9,4.9,4.9,4.6,38.0
2.0,2.5,179,5.0,5.0,5.0,4.9,5.0,4.8,30.0
1.0,1.0,188,5.0,5.0,5.0,5.0,5.0,4.8,41.0
1.0,1.0,66,5.0,4.8,4.9,4.9,4.9,4.8,29.0
6.0,1.0,134,5.0,4.9,4.9,4.8,5.0,4.8,40.0
1.0,1.5,148,4.7,4.7,4.8,4.8,4.8,4.8,22.0
1.0,1.0,224,4.9,4.9,5.0,4.9,5.0,4.8,34.0
1.0,1.0,135,5.0,4.9,5.0,4.9,5.0,4.7,21.0
2.0,1.0,138,5.0,4.9,5.0,4.8,5.0,4.8,23.0
2.0,1.0,161,4.7,4.8,5.0,4.9,4.9,4.7,84.0
1.0,1.0,107,4.9,4.9,4.9,5.0,4.9,4.7,15.0
1.0,1.0,184,5.0,5.0,5.0,5.0,5.0,4.9,13.0
1.0,1.0,112,5.0,5.0,5.0,4.9,5.0,4.9,38.0
1.0,1.0,94,5.0,5.0,5.0,5.0,5.0,5.0,24.0
3.0,1.0,61,4.8,4.9,4.9,4.7,4.9,4.8,28.0
1.0,1.0,295,5.0,5.0,5.0,5.0,5.0,4.9,43.0
1.0,1.0,58,5.0,5.0,5.0,4.9,4.8,4.9,30.0
2.0,1.0,60,4.9,5.0,5.0,4.9,5.0,4.9,45.0
1.0,1.0,91,5.0,5.0,5.0,5.0,4.9,4.9,21.0
1.0,1.0,153,5.0,4.9,5.0,4.9,5.0,4.9,35.0
1.0,1.5,112,4.9,4.9,4.8,4.9,4.9,4.7,69.0
1.0,1.0,170,4.8,4.9,5.0,4.9,5.0,4.7,29.0
1.0,1.0,201,5.0,5.0,5.0,5.0,5.0,5.0,24.0
3.0,1.5,49,4.9,4.9,5.0,4.8,4.9,4.8,27.0
2.0,1.0,103,4.9,5.0,5.0,4.9,5.0,4.9,22.0
5.0,1.0,270,5.0,5.0,5.0,5.0,5.0,4.8,43.0
1.0,1.0,197,4.8,4.9,5.0,5.0,5.0,4.7,41.0
1.0,1.0,44,4.7,4.9,4.9,5.0,4.9,4.5,30.0
1.0,1.0,138,5.0,4.9,5.0,4.9,5.0,4.8,27.0
1.0,1.0,54,4.9,4.9,4.9,4.8,4.8,4.8,27.0
2.0,1.0,422,5.0,5.0,5.0,5.0,5.0,5.0,29.0
2.0,1.0,218,5.0,5.0,5.0,5.0,5.0,4.8,30.0
3.0,1.0,157,5.0,5.0,5.0,5.0,5.0,4.9,48.0
1.0,1.0,105,4.6,4.9,5.0,4.9,4.9,4.7,27.0
2.0,1.0,137,4.8,4.8,4.9,4.9,5.0,4.6,39.0
2.0,1.0,139,4.6,4.8,4.9,4.9,5.0,4.7,28.0
1.0,1.0,100,5.0,5.0,5.0,5.0,5.0,5.0,43.0
2.0,1.0,98,4.9,5.0,5.0,4.9,5.0,4.7,31.0
1.0,1.0,98,4.9,5.0,5.0,4.9,5.0,4.8,48.0
2.0,1.0,223,5.0,4.9,5.0,4.9,5.0,4.7,34.0
2.0,1.0,230,5.0,5.0,5.0,5.0,5.0,5.0,32.0
2.0,1.0,140,4.8,4.9,5.0,4.9,5.0,4.8,24.0
2.0,1.0,297,5.0,5.0,5.0,5.0,5.0,4.7,36.0
1.0,1.0,212,5.0,4.9,4.9,4.9,5.0,4.8,34.0
2.0,1.0,500,4.8,4.9,5.0,5.0,5.0,4.6,19.0
2.0,1.0,137,4.9,4.9,5.0,4.9,5.0,4.8,38.0
2.0,1.0,127,4.3,4.8,4.8,4.8,4.8,4.3,41.0
1.0,1.0,73,4.9,4.9,5.0,4.7,5.0,4.7,26.0
1.0,1.0,101,4.8,4.9,4.8,4.7,4.9,4.9,10.0
1.0,1.0,56,4.6,4.9,4.9,4.4,4.9,4.7,18.0
3.0,1.5,199,5.0,5.0,5.0,4.9,5.0,4.8,35.0
1.0,1.0,38,4.8,4.9,4.9,4.8,4.9,4.8,19.0
1.0,1.0,211,4.9,5.0,5.0,4.9,5.0,4.8,39.0
1.0,1.0,112,4.9,5.0,5.0,4.9,5.0,4.9,33.0
2.0,1.0,141,4.9,5.0,5.0,4.9,5.0,4.8,30.0
1.0,1.0,82,5.0,5.0,5.0,4.9,5.0,4.9,31.0
1.0,1.0,71,5.0,4.9,4.9,4.9,4.9,4.8,27.0
2.0,1.0,73,4.9,4.9,4.9,4.9,5.0,4.8,44.0
2.0,1.0,128,5.0,5.0,5.0,4.9,5.0,4.8,28.0
3.0,1.0,500,4.7,4.7,4.6,5.0,4.7,4.3,18.0
2.0,1.0,145,4.9,4.9,5.0,4.9,5.0,4.8,18.0
1.0,1.0,84,5.0,5.0,5.0,5.0,5.0,5.0,38.0
2.0,1.0,107,4.9,4.8,4.8,4.9,4.8,4.4,14.0
1.0,1.0,71,4.8,4.8,4.7,4.9,4.7,4.6,33.0
1.0,1.0,36,5.0,5.0,5.0,5.0,5.0,5.0,30.0
1.0,2.0,36,4.6,4.7,4.9,4.8,4.8,4.8,27.0
3.0,1.5,210,4.8,4.9,5.0,4.9,5.0,4.7,49.0
9.0,4.0,395,4.9,4.9,5.0,5.0,5.0,4.8,37.0
2.0,0.0,40,4.6,4.8,4.8,4.8,4.8,4.6,4.0
4.0,0.0,43,5.0,5.0,5.0,5.0,5.0,5.0,24.0
1.0,1.0,122,4.8,5.0,4.9,5.0,5.0,4.9,23.0
2.0,1.0,77,5.0,5.0,5.0,4.9,5.0,4.9,32.0
1.0,1.0,92,4.9,4.8,4.8,4.9,4.9,4.8,32.0
1.0,1.0,86,5.0,5.0,5.0,4.7,5.0,4.8,42.0
4.0,1.0,92,4.5,4.5,4.5,4.8,4.4,4.2,20.0
5.0,1.0,510,4.7,4.8,4.9,4.9,4.9,4.5,14.0
1.0,1.0,68,4.9,4.9,5.0,4.9,5.0,4.9,48.0
2.0,2.0,105,4.9,5.0,5.0,4.8,5.0,4.9,31.0
1.0,1.0,39,4.9,4.9,5.0,4.8,5.0,4.8,38.0
3.0,2.0,474,4.9,5.0,5.0,5.0,5.0,4.9,31.0
2.0,1.0,63,5.0,4.9,5.0,4.9,5.0,4.8,16.0
3.0,1.0,102,4.6,4.4,4.6,4.7,4.6,4.4,21.0
3.0,2.0,482,4.9,4.9,5.0,4.9,5.0,4.9,67.0
1.0,1.0,66,4.9,4.8,4.8,4.6,4.9,4.8,58.0
1.0,1.0,121,4.7,4.9,4.9,4.9,4.9,4.5,35.0
1.0,1.0,40,4.8,4.9,4.9,4.7,4.9,4.9,32.0
2.0,1.0,43,4.7,4.9,4.9,4.9,4.9,4.9,3.0
2.0,1.0,368,4.3,4.3,3.9,4.0,3.9,4.0,23.0
2.0,1.0,73,4.8,4.9,4.8,4.8,4.8,4.8,22.0
2.0,1.0,46,4.4,4.2,4.7,4.5,4.7,4.5,25.0
3.0,1.0,10,4.5,4.8,4.8,4.9,4.8,4.7,10.0
2.0,1.0,122,4.8,5.0,4.9,4.9,5.0,4.9,24.0
5.0,1.0,46,4.9,4.9,4.9,4.9,4.8,4.8,21.0
1.0,1.0,98,5.0,5.0,4.3,5.0,5.0,4.3,43.0
1.0,1.0,139,4.9,4.9,4.9,4.9,4.9,4.5,21.0
2.0,1.0,61,4.9,4.9,4.9,4.8,5.0,4.9,25.0
1.0,1.0,72,4.7,4.8,5.0,4.9,4.9,4.5,19.0
2.0,1.0,79,4.8,5.0,5.0,5.0,5.0,4.7,19.0
1.0,2.0,19,4.6,4.9,4.9,4.8,4.9,4.8,26.0
4.0,1.5,116,4.9,4.7,5.0,5.0,5.0,4.3,18.0
4.0,1.0,34,4.0,4.7,4.9,4.9,4.8,4.7,16.0
1.0,1.0,128,4.9,4.9,5.0,4.8,4.9,4.6,50.0
2.0,1.0,63,4.8,4.7,5.0,4.9,5.0,4.8,12.0
2.0,1.0,95,4.7,4.9,4.9,4.9,4.9,4.8,13.0
1.0,1.0,44,4.6,4.8,4.9,4.9,4.9,4.7,29.0
2.0,1.0,43,4.7,4.9,4.9,4.9,5.0,5.0,3.0
1.0,1.0,82,5.0,5.0,5.0,4.9,5.0,4.7,15.0
1.0,1.0,161,4.7,4.8,5.0,5.0,5.0,4.8,25.0
3.0,1.0,161,4.8,4.8,4.8,4.8,4.9,4.8,40.0
3.0,1.0,91,5.0,5.0,5.0,5.0,5.0,5.0,35.0
3.0,1.0,238,4.6,5.0,4.9,5.0,4.9,4.5,16.0
6.0,2.0,432,4.7,4.6,5.0,5.0,5.0,4.8,22.0
1.0,1.0,50,4.9,4.4,4.7,4.9,4.9,4.5,6.0
1.0,1.0,62,4.4,4.6,4.6,4.8,4.6,4.8,31.0
1.0,1.0,44,5.0,5.0,5.0,5.0,5.0,5.0,15.0
1.0,1.0,42,4.8,4.9,5.0,5.0,5.0,4.8,12.0
9.0,5.5,382,4.4,4.5,4.9,4.7,4.8,4.7,51.0
1.0,1.0,57,4.8,4.8,4.8,4.8,4.9,4.8,6.0
2.0,1.0,434,5.0,4.9,5.0,4.9,5.0,4.4,26.0
3.0,1.0,122,4.8,4.7,4.8,4.7,4.8,4.2,21.0
2.0,1.0,33,4.8,4.9,4.8,5.0,4.8,4.8,36.0
2.0,1.0,99,5.0,5.0,5.0,5.0,5.0,5.0,53.0
4.0,1.0,52,4.8,4.8,4.8,4.9,4.9,4.7,16.0
5.0,2.0,151,4.7,4.9,4.9,4.9,5.0,4.7,29.0
1.0,1.0,49,5.0,5.0,5.0,5.0,5.0,4.7,25.0
2.0,1.0,121,5.0,5.0,4.9,4.9,4.9,4.8,21.0
1.0,1.0,193,5.0,5.0,5.0,4.9,5.0,4.8,48.0
1.0,1.0,238,4.9,4.9,4.9,4.8,5.0,4.6,28.0
1.0,1.0,147,4.8,4.9,4.8,4.9,4.9,4.8,42.0
1.0,1.0,105,5.0,5.0,5.0,4.7,5.0,4.6,41.0
2.0,1.0,104,4.8,4.8,5.0,5.0,4.9,5.0,32.0
1.0,1.0,102,5.0,4.9,5.0,4.9,5.0,4.8,43.0
1.0,1.0,124,5.0,5.0,5.0,5.0,5.0,4.9,30.0
4.0,1.0,137,4.8,4.9,5.0,4.9,5.0,4.8,38.0
1.0,1.0,14,4.6,4.7,4.9,4.8,4.8,4.8,23.0
1.0,1.0,100,4.9,4.9,4.8,4.9,4.8,4.8,22.0
2.0,2.0,113,5.0,5.0,5.0,4.9,5.0,4.9,30.0
2.0,0.0,52,4.5,4.5,4.6,4.8,4.8,4.3,5.0
2.0,1.0,57,4.9,5.0,5.0,4.9,5.0,5.0,38.0
2.0,0.0,27,4.4,4.7,4.7,4.9,4.7,4.7,17.0
1.0,1.0,125,4.9,4.9,5.0,4.9,5.0,4.8,32.0
1.0,1.0,66,4.3,4.7,5.0,5.0,5.0,4.5,35.0
2.0,1.0,9,4.0,4.0,4.2,4.2,4.2,4.3,42.0
1.0,1.0,23,4.8,4.5,4.9,4.5,4.6,4.8,23.0
3.0,1.0,23,4.9,5.0,5.0,4.8,4.9,4.9,19.0
3.0,1.0,87,5.0,5.0,5.0,5.0,5.0,5.0,51.0
4.0,1.0,141,5.0,5.0,5.0,5.0,5.0,5.0,53.0
3.0,2.0,368,5.0,5.0,5.0,5.0,5.0,4.7,29.0
1.0,1.0,143,4.9,5.0,5.0,4.9,4.9,4.9,37.0
2.0,1.0,116,5.0,4.9,5.0,4.8,5.0,4.8,38.0
2.0,2.0,254,5.0,5.0,4.9,4.9,5.0,4.9,43.0
1.0,1.0,192,5.0,5.0,5.0,5.0,5.0,4.8,22.0
7.0,2.0,241,5.0,5.0,5.0,4.8,5.0,4.8,44.0
1.0,1.0,64,4.9,4.8,5.0,4.9,4.9,4.7,43.0
1.0,2.0,168,5.0,5.0,4.9,5.0,5.0,4.9,44.0
1.0,1.5,140,4.9,4.9,4.9,4.9,4.9,4.7,37.0
2.0,1.0,303,4.9,5.0,5.0,5.0,5.0,4.7,51.0
4.0,1.5,147,5.0,5.0,5.0,5.0,5.0,4.8,46.0
1.0,1.0,88,4.9,4.9,5.0,4.9,5.0,4.8,48.0
1.0,1.0,74,4.9,5.0,5.0,4.9,5.0,4.8,35.0
3.0,2.0,89,4.9,4.9,4.9,4.8,4.9,4.8,37.0
1.0,1.0,150,4.9,5.0,5.0,5.0,5.0,4.8,32.0
1.0,1.0,158,4.8,5.0,4.9,5.0,5.0,4.9,39.0
1.0,1.5,119,5.0,5.0,5.0,4.9,5.0,4.8,29.0
3.0,1.5,254,4.9,5.0,5.0,5.0,5.0,4.6,27.0
1.0,1.5,118,5.0,5.0,5.0,4.9,5.0,5.0,34.0
3.0,1.0,152,4.8,4.8,4.9,4.9,4.9,4.7,57.0
1.0,1.0,121,5.0,4.9,5.0,4.8,5.0,4.9,43.0
1.0,1.0,94,5.0,5.0,5.0,4.9,5.0,4.9,60.0
1.0,1.0,275,4.7,4.8,4.9,4.9,4.9,4.6,25.0
1.0,1.0,235,5.0,5.0,5.0,4.9,5.0,4.7,32.0
1.0,1.0,70,5.0,5.0,4.9,4.9,5.0,4.9,28.0
1.0,1.0,102,4.9,4.9,5.0,5.0,5.0,4.8,40.0
1.0,1.0,106,4.9,5.0,5.0,4.9,5.0,4.8,32.0
1.0,1.0,105,5.0,5.0,5.0,4.9,5.0,4.9,21.0
1.0,1.0,128,4.8,4.9,4.9,4.7,4.9,4.7,39.0
5.0,2.0,211,4.9,4.8,4.8,4.9,4.9,4.7,34.0
1.0,1.5,102,4.8,5.0,5.0,4.9,5.0,4.8,25.0
1.0,1.0,133,5.0,5.0,5.0,5.0,5.0,5.0,53.0
1.0,1.0,90,4.9,5.0,5.0,4.8,4.9,4.8,30.0
1.0,1.0,96,5.0,5.0,5.0,5.0,5.0,4.9,52.0
2.0,1.0,49,5.0,4.9,5.0,4.9,5.0,4.8,42.0
3.0,1.0,170,4.9,5.0,5.0,4.9,5.0,4.9,34.0
1.0,1.0,44,5.0,4.9,5.0,4.9,5.0,4.8,20.0
3.0,1.5,119,4.9,5.0,5.0,5.0,5.0,4.9,27.0
5.0,3.0,245,4.0,4.4,4.0,4.8,4.6,4.1,33.0
1.0,1.0,92,4.8,4.9,5.0,4.9,5.0,4.7,37.0
1.0,1.5,125,5.0,4.9,4.9,5.0,5.0,4.9,31.0
1.0,1.0,115,4.9,5.0,5.0,5.0,5.0,4.9,52.0
1.0,1.0,72,4.9,5.0,5.0,4.8,5.0,4.9,24.0
1.0,1.0,104,5.0,5.0,5.0,5.0,5.0,4.9,34.0
2.0,1.0,133,4.9,5.0,5.0,4.9,5.0,4.8,30.0
1.0,1.0,60,5.0,5.0,5.0,4.9,5.0,4.9,30.0
1.0,1.5,58,4.8,4.9,4.9,4.9,4.9,4.9,43.0
1.0,1.0,106,4.8,4.9,5.0,4.9,4.9,4.7,20.0
1.0,1.0,119,5.0,4.9,4.9,5.0,5.0,4.7,23.0
2.0,1.5,159,4.9,4.9,4.9,4.9,5.0,4.6,40.0
1.0,1.0,80,5.0,5.0,5.0,4.9,5.0,4.9,22.0
1.0,1.0,73,5.0,5.0,5.0,5.0,5.0,4.9,42.0
1.0,1.0,59,5.0,5.0,5.0,5.0,5.0,5.0,28.0
1.0,1.0,83,5.0,5.0,5.0,5.0,5.0,4.9,18.0
2.0,1.0,75,5.0,5.0,5.0,5.0,5.0,4.9,29.0
1.0,1.0,100,5.0,5.0,5.0,4.9,5.0,4.9,28.0
1.0,1.0,61,5.0,5.0,5.0,4.8,5.0,4.9,40.0
1.0,1.0,86,5.0,5.0,5.0,4.9,5.0,4.9,46.0
1.0,1.0,79,4.7,4.8,4.9,4.9,5.0,4.7,43.0
3.0,2.0,88,5.0,4.9,5.0,4.8,5.0,4.9,55.0
1.0,1.0,84,4.8,5.0,4.9,5.0,5.0,4.8,38.0
1.0,1.0,109,5.0,5.0,5.0,4.9,5.0,4.9,40.0
5.0,1.0,91,5.0,4.9,5.0,4.9,5.0,4.8,31.0
1.0,1.0,45,5.0,5.0,5.0,4.9,5.0,4.9,44.0
5.0,1.5,116,4.8,4.9,4.8,4.9,4.9,4.8,39.0
2.0,1.0,143,4.8,5.0,4.9,4.9,5.0,4.7,25.0
1.0,1.0,105,5.0,5.0,5.0,4.9,5.0,4.8,48.0
2.0,2.0,131,5.0,4.9,5.0,5.0,5.0,4.9,32.0
2.0,1.0,138,4.6,4.9,5.0,5.0,5.0,4.8,26.0
3.0,1.0,59,5.0,5.0,5.0,4.9,5.0,4.9,25.0
2.0,1.0,88,4.7,4.9,5.0,4.9,5.0,4.7,41.0
3.0,1.0,61,4.8,4.9,5.0,4.9,5.0,4.8,36.0
4.0,2.0,249,4.9,5.0,5.0,5.0,5.0,4.8,37.0
1.0,1.0,75,5.0,4.9,5.0,5.0,5.0,4.9,41.0
1.0,1.0,72,5.0,5.0,5.0,5.0,5.0,5.0,33.0
2.0,1.0,120,4.9,5.0,5.0,4.9,5.0,4.9,35.0
2.0,1.0,104,5.0,5.0,5.0,5.0,5.0,4.9,28.0
5.0,1.0,550,4.8,5.0,5.0,5.0,5.0,4.7,34.0
1.0,1.0,81,5.0,5.0,5.0,4.9,5.0,4.8,38.0
5.0,2.0,228,4.9,5.0,5.0,4.9,5.0,4.8,24.0
2.0,1.0,70,5.0,4.9,5.0,4.9,5.0,4.8,23.0
2.0,1.5,108,5.0,5.0,5.0,5.0,5.0,4.9,47.0
1.0,1.0,66,5.0,5.0,5.0,4.8,4.9,4.9,38.0
3.0,1.0,144,5.0,5.0,5.0,5.0,5.0,4.9,47.0
1.0,1.0,135,5.0,5.0,5.0,5.0,5.0,4.9,51.0
1.0,1.0,75,5.0,5.0,5.0,5.0,5.0,4.9,33.0
1.0,1.0,81,4.9,5.0,5.0,4.9,5.0,4.8,23.0
3.0,1.5,187,5.0,5.0,5.0,5.0,5.0,4.8,30.0
1.0,1.5,107,4.6,4.7,5.0,5.0,5.0,4.6,30.0
